,Restaurant ID,Restaurant Name,Location,Building No.,Street Name,Zip Code,Contact Number,Cuisine Type,Inspection Date,Inspection Action,Violation Code,Violation Description,Critical Flag,Inspection Score,Record Date,Inspection Type,Latitude,Longitude,Community Board,Council District,Census Tract,Building ID No.,Borough-Block-Lot,Neighborhood Area,Grade
16,41316656,I SODI,Manhattan,105,CHRISTOPHER STREET,10014,2124145774,Italian,2023-05-05,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,30.0,5/14/2023,Cycle Inspection / Initial Inspection,40.73330263,-74.00486755,102,3,7300,1076912,1006190038,MN23,N
17,50002020,THE GREAT GEORGIANA,Brooklyn,248,DEKALB AVENUE,11205,6462396083,American,2020-02-13,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,12.0,5/14/2023,Cycle Inspection / Re-inspection,40.68945915,-73.96925982,302,35,19700,3059141,3021050034,BK69,A
18,50001088,CAGEN,Manhattan,414,EAST    9 STREET,10009,2123588800,Japanese,2022-03-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.72783405,-73.98407442,103,2,3200,1005867,1004360012,MN22,A
19,50017756,FRISSON ESPRESSO,Manhattan,326,WEST   47 STREET,10036,6468503929,Coffee/Tea,2023-02-22,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Re-inspection,40.76079368,-73.98843071,104,3,12700,1025063,1010370048,MN15,A
20,50081576,KE LAI QIN,Queens,133-35,ROOSEVELT AVENUE,11354,9293308883,Chinese,2022-08-10,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,20.0,5/14/2023,Cycle Inspection / Re-inspection,40.758502,-73.83324181,407,20,87100,4112276,4049730016,QN22,B
21,50085919,CASA DEL MAR RESTAURANT,Bronx,1779,WEBSTER AVENUE,10457,9174736670,Seafood,2022-08-24,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.84539244,-73.90224206,205,15,23100,2009350,2028900071,BX41,A
22,41008413,TU SONRISA,Manhattan,132,AUDUBON AVENUE,10032,2125430218,Latin American,2022-03-31,Violations were cited in the following area(s).,05B,"Harmful, noxious gas or vapor detected. CO =13 ppm.",Critical,10.0,5/14/2023,Cycle Inspection / Initial Inspection,40.84276243,-73.93670763,112,10,25300,1063066,1021280015,MN36,A
23,50056280,CAMPANIA COAL FIRE PIZZA,Staten Island,240,PAGE AVENUE,10307,7182273286,Pizza,2021-08-04,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.51812114,-74.234492,503,51,24800,5141719,5080080134,SI11,A
24,50121031,THREE ROOSTERS,Manhattan,23,PELL STREET,10013,6464922899,Thai,2022-08-30,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9.0,5/14/2023,Cycle Inspection / Re-inspection,40.71484141,-73.99818915,103,1,2900,1001698,1001620023,MN27,A
25,40366543,JARDIN DE CHINA REST,Queens,3737,JUNCTION BOULEVARD,11368,7184763755,Chinese,2022-03-04,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,23.0,5/14/2023,Cycle Inspection / Re-inspection,40.7507548,-73.87036048,403,21,37500,4043854,4017590046,QN26,B
26,41508109,PURE THAI RESTAURANT,Manhattan,766,9 AVENUE,10019,2125810999,Thai,2022-08-04,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,7.0,5/14/2023,Cycle Inspection / Initial Inspection,40.76429324,-73.98834346,104,3,13300,1025193,1010420003,MN15,A
27,40367534,MR BROADWAY KOSHER RESTAURANT,Manhattan,1372,BROADWAY,10018,2129212152,Jewish/Kosher,2023-01-13,Establishment re-opened by DOHMH.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Reopening Inspection,40.75226286,-73.98745408,105,4,10900,1080609,1008130023,MN17,Z
28,50000203,VINICIO'S RESTAURANT,Queens,4021,108TH ST,11368,7184783600,Latin American,2022-09-08,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,21.0,5/14/2023,Cycle Inspection / Re-inspection,40.75051041,-73.85864907,404,21,40100,4049227,4019960088,QN26,B
29,41708194,AL PASTOR,Manhattan,145,EAST   39 STREET,10016,2128655800,Mexican,2019-03-04,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,9.0,5/14/2023,Cycle Inspection / Initial Inspection,40.74933806,-73.97693759,106,4,8000,1019481,1008950034,MN20,A
30,50045059,HILL COUNTRY,Manhattan,4,PENN PLAZA,10121,2124656273,Barbecue,2023-03-04,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75065484,-73.99194424,105,3,10100,1082908,1007810001,MN17,A
31,40423830,CHAMPION BAKERY,Bronx,3978,WHITE PLAINS ROAD,10466,7187981203,Caribbean,2023-03-03,Establishment re-opened by DOHMH.,04M,Live roaches in facility's food or non-food area.,Critical,11.0,5/14/2023,Cycle Inspection / Reopening Inspection,40.88798306,-73.86034121,212,12,40600,2063436,2048390044,BX44,Z
32,50106827,LUCKY CHANCE,Brooklyn,395,REMSEN AVENUE,11212,2123859888,Chinese,2022-03-07,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,27.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.65601188,-73.92354681,317,41,88600,3101678,3046650001,BK96,B
33,41351706,JIMMY'S TRATTORIA,Queens,4573,BELL BOULEVARD,11361,7182295319,Italian,2023-02-22,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,27.0,5/14/2023,Cycle Inspection / Re-inspection,40.75862285,-73.7684482,411,19,147100,4157337,4073310001,QN46,Z
34,40545130,SPEEDY'S DELI,Manhattan,1271,BROADWAY,10001,2126838997,American,2023-04-17,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.74828856,-73.98846537,105,3,7600,1015834,1008330078,MN17,A
35,50088137,CROWN FRIED CHICKEN,Manhattan,1867,LEXINGTON AVENUE,10029,2129962651,Chicken,2019-11-13,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,17.0,5/14/2023,Cycle Inspection / Re-inspection,40.79843201,-73.94174146,111,8,18200,1052262,1016430052,MN34,B
36,50133813,DURAN RESTAURANT,Queens,9610,JAMAICA AVE,11421,7184410068,Spanish,2023-04-04,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,24.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.69446943,-73.84924446,409,32,3000,4184432,4089370005,QN53,N
37,50008603,GINA LA FORNARINA,Manhattan,1016,LEXINGTON AVENUE,10021,2127342201,Pizza,2018-02-08,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9.0,5/14/2023,Cycle Inspection / Initial Inspection,40.77086943,-73.96188955,108,4,12800,1042860,1014070057,MN40,A
38,50051741,HAAB,Brooklyn,396,6 AVENUE,11215,7183690849,Mexican,2023-02-09,Violations were cited in the following area(s).,09E,Wash hands sign not posted near or above hand washing sink.,Not Critical,12.0,5/14/2023,Cycle Inspection / Re-inspection,40.66933181,-73.98286641,306,39,13700,3021680,3009940051,BK37,A
39,50117427,GIGI'S OF MULBERRY,Manhattan,149,MULBERRY STREET,10013,7182277474,Other,2022-09-16,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Inter-Agency Task Force / Initial Inspection,40.71895032,-73.99748919,102,1,4100,1003077,1002360021,MN24,N
40,41608757,Great Wall,Bronx,1476,WHITE PLAINS ROAD,10462,7188288288,Chinese,2022-04-15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.83714334,-73.86342261,209,18,21602,2029089,2039370075,BX46,A
41,40400198,CABANA,Queens,107-12,70 ROAD,11375,7182633600,Latin American,2022-03-07,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Re-inspection,40.72111625,-73.84552944,406,29,71100,4077497,4032390038,QN17,A
42,50118258,TWO FUNGIS,Queens,2426,47TH ST,11103,9175876785,Other,2022-03-03,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Pre-permit (Non-operational) / Initial Inspection,40.76656844,-73.90512353,401,22,14100,4013583,4007320045,QN70,N
43,50019234,CHINA WOK RESTAURANT,Brooklyn,869,NOSTRAND AVENUE,11225,7187718888,Chinese,2020-02-18,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Re-inspection,40.66693456,-73.95076389,309,35,31900,3033853,3012900012,BK63,A
44,40369299,SEASHORE RESTAURANT,Bronx,591,CITY ISLAND AVENUE,10464,7188850300,Seafood,2020-02-11,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10.0,5/14/2023,Cycle Inspection / Initial Inspection,40.85411693,-73.79057359,210,13,51600,2100408,2056350164,BX10,A
45,41258880,CIBO EXPRESS GOURMET MARKET,Queens,0,JFK INTERNATIONAL AIRPORT,11430,3473061731,Sandwiches,2022-06-01,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.64831283,-73.7882815,483,28,71600,4000000,4142600001,QN98,A
46,40515675,CROSSTOWN DINER,Bronx,2880,BRUCKNER BOULEVARD,10465,7185973450,American,2022-01-27,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,11.0,5/14/2023,Cycle Inspection / Re-inspection,40.83263385,-73.82868635,210,13,16600,2079382,2055310001,BX52,A
47,50095376,BROOKLYN'S BEST,Brooklyn,23,HILLEL PLACE,11210,7182521234,Sandwiches,2020-01-07,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.63248094,-73.9482026,314,45,77400,3336752,3075570001,BK42,A
48,50065122,PEKING HOUSE RESTAURANT INC.,Queens,9617,LIBERTY AVE,11417,9146217188,Chinese,2022-07-23,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,11.0,5/14/2023,Cycle Inspection / Initial Inspection,40.68068176,-73.84263097,410,32,4002,4189620,4091190034,QN56,A
49,41046726,THE CAPITAL GRILLE,Manhattan,155,EAST   42 STREET,10017,2129532000,Steakhouse,2023-04-13,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,46.0,5/14/2023,Cycle Inspection / Re-inspection,40.75117399,-73.97540664,106,4,9200,1036160,1012970031,MN19,Z
50,50086573,MIKE'S DELI,Bronx,2344,ARTHUR AVENUE,10458,7182955033,Italian,2023-04-06,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,26.0,5/14/2023,Cycle Inspection / Re-inspection,40.8542401,-73.8886733,206,15,39100,2012125,2030730013,BX06,B
51,50059351,REGGAE TASTE,Queens,12926,MERRICK BLVD,11434,9173879368,Caribbean,2022-05-04,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,10.0,5/14/2023,Cycle Inspection / Re-inspection,40.68047662,-73.76322594,412,27,33401,4270384,4125380003,QN08,A
52,50077077,THE TAILOR PUBLIC HOUSE,Manhattan,505,8 AVENUE,10018,2014172596,French,2019-12-03,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,10.0,5/14/2023,Cycle Inspection / Re-inspection,40.75304009,-73.99284989,104,3,11100,1013575,1007590037,MN13,A
53,50127815,MOGAO (Bank of China),Manhattan,1045,6 AVENUE,10018,7403192198,Chinese,2022-12-13,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.75312173,-73.98536049,105,4,11300,1000000,1008150026,MN17,A
54,50015982,THE ATRIUM @ BROOKLYN BOTANIC GARDEN,Brooklyn,1000,WASHINGTON AVENUE,11225,7183077133,American,2022-04-30,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.66752615,-73.96179022,355,35,17700,3337842,3011830001,BK99,A
55,50102985,TEA MAGIC,Manhattan,2878,BROADWAY,10025,9176621174,Coffee/Tea,2023-03-27,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,21.0,5/14/2023,Cycle Inspection / Initial Inspection,40.80534749,-73.96582147,109,7,19900,1056988,1018830059,MN09,N
56,41699967,NEW KING HOUSE,Queens,11115,ROOSEVELT AVENUE,11368,7184467523,Chinese,2022-12-28,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,19.0,5/14/2023,Cycle Inspection / Re-inspection,40.75167304,-73.85552097,403,21,40100,4044946,4017840127,QN26,Z
57,50113607,MR. SUN,Manhattan,48,WEST   48 STREET,10036,7183169811,Chinese,2022-06-21,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,49.0,5/14/2023,Pre-permit (Operational) / Re-inspection,40.75810267,-73.98008935,105,4,9600,1034498,1012630061,MN17,C
58,41112470,VILLA MIA PIZZA,Brooklyn,526,3 AVENUE,11215,7187883330,Pizza,2021-12-15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.66940423,-73.99274354,306,39,11700,3023074,3010260036,BK37,A
59,50079058,DIG INN,Brooklyn,166,NORTH    4 STREET,11211,7182156844,American,2023-01-03,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10.0,5/14/2023,Cycle Inspection / Re-inspection,40.71579474,-73.9589307,301,34,55300,3062371,3023527501,BK73,A
60,50015858,ETHYL'S,Manhattan,1629,2 AVENUE,10028,2123004132,American,2022-12-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,21.0,5/14/2023,Cycle Inspection / Initial Inspection,40.77690163,-73.95246231,108,5,14601,1048741,1015300026,MN32,N
61,41606966,PEKING,Bronx,221B,EAST TREMONT AVENUE,10457,7182991728,Chinese,2023-03-16,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,11.0,5/14/2023,Cycle Inspection / Re-inspection,40.84902875,-73.90495486,205,15,23502,2094516,2028090053,BX41,A
62,50091873,DOMINO'S,Bronx,3484,BOSTON ROAD,10469,2035360660,Pizza,2022-04-07,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.87681153,-73.84700692,212,12,35800,2061043,2047430001,BX03,A
63,50006741,GRACE CAFE,Manhattan,572,8 AVENUE,10018,2129218141,American,2023-02-10,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,36.0,5/14/2023,Cycle Inspection / Re-inspection,40.75482135,-73.99153226,105,3,11300,1014470,1007880001,MN17,Z
64,50118317,CJ CAFE,Queens,9621,ROCKAWAY BLVD,11417,5162884767,Caribbean,2022-05-14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.68033525,-73.84214867,410,32,4002,4191235,4091690259,QN56,A
65,50056715,LEGEND OF TASTE,Queens,2002,UTOPIA PKWY,11357,9178422955,Chinese,2022-11-17,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,9.0,5/14/2023,Cycle Inspection / Re-inspection,40.77951778,-73.79384941,407,19,101700,4129055,4057540022,QN47,A
66,41316819,HIDEAWAY,Manhattan,185,DUANE STREET,10013,2123345775,American,2023-01-10,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,13.0,5/14/2023,Cycle Inspection / Re-inspection,40.71741556,-74.01025946,101,1,3900,1001549,1001430015,MN24,A
67,40712429,SAL Y PIMIENTA,Queens,81-10,ROOSEVELT AVENUE,11372,3473613282,Spanish,2020-02-26,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,13.0,5/14/2023,Cycle Inspection / Initial Inspection,40.74754222,-73.88464775,404,25,26901,4036863,4014920005,QN29,A
68,40750264,TIMES SQUARE CAFE,Manhattan,1535,BROADWAY,10036,2123981900,American,2021-08-10,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75825993,-73.98546765,105,3,11900,1024727,1010170029,MN17,A
69,50078682,CRUST PIZZERIA,Staten Island,2071,CLOVE ROAD,10304,7188736520,Pizza,2019-02-26,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,12.0,5/14/2023,Cycle Inspection / Initial Inspection,40.60395476,-74.08365707,502,50,5000,5112655,5029210006,SI14,A
70,40811162,CARMINE'S,Manhattan,2450,BROADWAY,10024,2123622200,Italian,2021-08-13,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Re-inspection,40.79116758,-73.97430838,107,6,17900,1033560,1012380046,MN12,A
71,50092126,EL TORO BAR,Brooklyn,7507,NEW UTRECHT AVENUE,11214,9292999772,Mexican,2023-01-11,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,13.0,5/14/2023,Cycle Inspection / Re-inspection,40.61561223,-73.99997839,311,43,26400,3160170,3062250043,BK28,A
72,50116601,FRESH PIZZA,Queens,6908,FRESH POND RD,11385,3475991447,Pizza,2022-08-15,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,8.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.70302412,-73.89536823,405,30,58300,4085250,4035360027,QN20,A
73,41704296,MIGHTY QUINN'S,Manhattan,103,2 AVENUE,10003,2126773733,Barbecue,2022-08-09,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.72748599,-73.98848342,103,2,3800,1006655,1004620030,MN22,A
74,40787054,BOSTON MARKET,Queens,10624,71 AVENUE,11375,7182610500,American,2021-07-29,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,11.0,5/14/2023,Cycle Inspection / Initial Inspection,40.71983096,-73.84498409,406,29,73700,4077914,4032550012,QN17,A
75,41262369,JUST SALAD,Manhattan,320,PARK AVENUE,10022,6464309239,Salads,2022-03-29,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,13.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75744266,-73.97379805,105,4,10200,1035464,1012860035,MN17,A
76,50068762,ANGELA'S PIZZA,Brooklyn,3435,FULTON STREET,11208,7186479606,Pizza,2022-12-27,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,10.0,5/14/2023,Cycle Inspection / Re-inspection,40.68457949,-73.86892839,305,37,118400,3092471,3041340155,BK83,A
77,50123517,THE ASTOR,Queens,3616,DITMARS BLVD,11105,7186852600,American,2023-05-02,Violations were cited in the following area(s).,04M,Live roaches in facility's food or non-food area.,Critical,29.0,5/14/2023,Pre-permit (Operational) / Initial Inspection,40.7742122,-73.90801183,401,22,11700,4016402,4008210134,QN72,N
78,50058321,SUMA PIZZA,Bronx,86,EAST  161 STREET,10451,7184847015,Pizza,2022-01-24,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,20.0,5/14/2023,Cycle Inspection / Re-inspection,40.82737907,-73.9245488,204,16,6300,2002910,2024740046,BX63,B
79,50070612,COCO FRESH TEA & JUICE,Queens,182-04,HORACE HARDING EXPRESSWAY,11365,3477324797,Coffee/Tea,2022-07-12,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.73918513,-73.79174457,408,24,134100,4152767,4070710001,QN41,A
80,41564945,RADIO CITY MUSIC HALL,Manhattan,1260,AVENUE OF THE AMERICAS,10020,2124857485,American,2016-06-15,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75998287,-73.98034869,105,4,10400,1083861,1012660001,MN17,A
81,40397797,TOAD HALL,Manhattan,57,GRAND STREET,10013,2124318145,American,2022-05-25,Violations were cited in the following area(s).,10J,Hand wash sign not posted,Not Critical,9.0,5/14/2023,Cycle Inspection / Initial Inspection,40.72224401,-74.00351387,102,1,4700,1002964,1002280024,MN24,A
82,41643074,CASA ENRIQUE,Queens,548,49 AVENUE,11101,3474486040,Mexican,2020-02-28,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,10.0,5/14/2023,Cycle Inspection / Initial Inspection,40.74378472,-73.95583864,402,26,700,4000145,4000320048,QN31,A
83,50099536,STARBUCKS,Manhattan,277,PARK AVENUE,10172,3476400523,Coffee/Tea,2023-05-12,No violations were recorded at the time of this inspection.,Null,Null,Not Applicable,0.0,5/14/2023,Cycle Inspection / Initial Inspection,40.75555731,-73.97513791,105,4,9200,1076268,1013027501,MN19,A
84,50074402,MEGUMI,Brooklyn,5102,AVENUE U,11234,9084321527,Japanese,2023-01-09,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,44.0,5/14/2023,Cycle Inspection / Re-inspection,40.60996998,-73.92222034,318,46,69800,3238574,3084700050,BK45,C
85,50056825,BEST PIZZA,Brooklyn,24,AVENUE O,11204,7185133220,Pizza,2022-02-28,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,11.0,5/14/2023,Cycle Inspection / Re-inspection,40.61016276,-73.9843367,311,44,43000,3174092,3065960007,BK29,A
86,50089785,HENRY'S END,Brooklyn,72,HENRY STREET,11201,7188341776,American,2019-08-28,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9.0,5/14/2023,Cycle Inspection / Re-inspection,40.69864704,-73.99244823,302,33,100,3001696,3002260021,BK09,A
